Country,"GDP (PPP)
per capita
(2017)","GDP (nominal)
per capita
(2017)"
Afghanistan,"$1,976",$538
Albania,"$12,943","$4,521"
Algeria,"$15,293","$4,048"
American Samoa,N.A.,"$11,399"
Andorra,N.A.,"$39,128"
Angola,"$6,658","$4,096"
Antigua and Barbuda,"$23,522","$15,825"
Argentina,"$20,829","$14,508"
Armenia,"$9,668","$3,918"
Aruba,"$39,493","$25,630"
Australia,"$49,378","$53,831"
Austria,"$53,879","$47,261"
Azerbaijan,"$17,450","$4,139"
Bahamas,"$30,495","$31,858"
Bahrain,"$47,708","$23,715"
Bangladesh,"$3,877","$1,564"
Barbados,"$18,559","$16,328"
Belarus,"$18,896","$5,762"
Belgium,"$49,367","$43,325"
Belize,"$8,525","$4,957"
Benin,"$2,276",$827
Bhutan,"$9,392","$3,391"
Bolivia,"$7,576","$3,351"
Bosnia and Herzegovina,"$13,108","$5,387"
Botswana,"$17,024","$7,894"
Brazil,"$15,553","$9,881"
Brunei,"$79,003","$28,572"
Bulgaria,"$20,948","$8,197"
Burkina Faso,"$1,866",$642
Burundi,$735,$293
Cabo Verde,"$6,913","$3,298"
Cambodia,"$4,018","$1,384"
Cameroon,"$3,722","$1,422"
Canada,"$46,510","$44,841"
Central African Republic,$727,$424
Chad,"$1,945",$657
Chile,"$24,747","$15,001"
China,"$16,842","$8,612"
Colombia,"$14,503","$6,429"
Comoros,"$2,751","$1,312"
Congo,"$5,454","$1,703"
Costa Rica,"$17,110","$11,573"
Croatia,"$26,296","$13,200"
Cuba,N.A.,"$8,541"
Cyprus,"$36,012","$18,695"
Czech Republic (Czechia),"$38,020","$20,291"
Côte d'Ivoire,"$3,945","$1,529"
Denmark,"$54,356","$57,545"
Dominica,"$10,037","$6,951"
Dominican Republic,"$16,064","$7,223"
DR Congo,$889,$462
Ecuador,"$11,612","$6,214"
Egypt,"$11,608","$2,441"
El Salvador,"$8,023","$3,883"
Equatorial Guinea,"$24,439","$9,741"
Estonia,"$33,448","$20,170"
Eswatini,"$8,659","$3,942"
Ethiopia,"$1,903",$757
Fiji,"$9,575","$5,768"
Finland,"$46,344","$45,778"
France,"$44,033","$39,827"
Gabon,"$18,113","$7,271"
Gambia,"$1,699",$673
Georgia,"$10,674","$3,762"
Germany,"$52,556","$44,680"
Ghana,"$4,502","$2,026"
Greece,"$28,583","$19,214"
Grenada,"$15,156","$10,164"
Guam,N.A.,"$35,665"
Guatemala,"$8,168","$4,471"
Guinea,"$2,247",$868
Guinea-Bissau,"$1,704",$737
Guyana,"$8,180","$4,671"
Haiti,"$1,819",$766
Honduras,"$4,997","$2,437"
Hong Kong,"$61,671","$46,733"
Hungary,"$28,799","$14,364"
Iceland,"$55,322","$73,233"
India,"$7,166","$1,980"
Indonesia,"$12,310","$3,837"
Iran,"$20,885","$5,628"
Iraq,"$16,935","$5,114"
Ireland,"$76,745","$69,727"
Israel,"$38,868","$42,852"
Italy,"$40,924","$32,038"
Jamaica,"$9,066","$5,061"
Japan,"$42,067","$38,214"
Jordan,"$9,173","$4,095"
Kazakhstan,"$26,491","$9,009"
Kenya,"$3,292","$1,578"
Kiribati,"$2,185","$1,626"
Kuwait,"$72,096","$29,616"
Kyrgyzstan,"$3,735","$1,222"
Laos,"$7,038","$2,424"
Latvia,"$28,362","$15,613"
Lebanon,"$14,513","$7,857"
Lesotho,"$2,932","$1,233"
Liberia,"$1,285",$699
Libya,"$19,673","$5,791"
Lithuania,"$33,253","$16,709"
Luxembourg,"$107,641","$105,280"
Macao,"$115,367","$80,890"
Madagascar,"$1,558",$450
Malawi,"$1,205",$357
Malaysia,"$29,511","$10,118"
Maldives,"$16,688","$9,802"
Mali,"$2,218",$828
Malta,"$40,797","$28,585"
Marshall Islands,"$4,247","$3,517"
Mauritania,"$3,958","$1,173"
Mauritius,"$22,356","$10,491"
Mexico,"$18,656","$9,224"
Moldova,"$5,711","$2,002"
Mongolia,"$12,946","$3,672"
Montenegro,"$19,355","$7,720"
Morocco,"$8,225","$3,083"
Mozambique,"$1,250",$441
Myanmar,"$6,174","$1,256"
Namibia,"$10,471","$5,516"
Nepal,"$2,702",$900
Netherlands,"$54,422","$48,796"
New Zealand,"$40,748","$43,415"
Nicaragua,"$5,855","$2,164"
Niger,"$1,019",$376
Nigeria,"$5,887","$1,969"
North Macedonia,"$15,290","$5,418"
Northern Mariana Islands,N.A.,"$28,164"
Norway,"$62,183","$75,428"
Oman,"$41,331","$15,170"
Pakistan,"$5,539","$1,467"
Palau,"$14,854","$16,275"
Panama,"$24,521","$15,166"
Papua New Guinea,"$4,208","$2,434"
Paraguay,"$13,109","$5,776"
Peru,"$13,463","$6,723"
Philippines,"$8,361","$2,982"
Poland,"$29,924","$13,871"
Portugal,"$32,554","$21,316"
Qatar,"$128,647","$61,264"
Romania,"$26,660","$10,781"
Russia,"$25,763","$10,846"
Rwanda,"$2,043",$762
Saint Kitts & Nevis,"$28,636","$19,061"
Saint Lucia,"$13,986","$9,602"
Samoa,"$6,641","$4,305"
San Marino,"$63,549","$48,495"
Sao Tome & Principe,"$3,359","$1,896"
Saudi Arabia,"$53,893","$20,747"
Senegal,"$3,458","$1,366"
Serbia,"$15,432","$4,692"
Seychelles,"$29,328","$15,536"
Sierra Leone,"$1,530",$504
Singapore,"$94,105","$56,746"
Slovakia,"$32,371","$17,551"
Slovenia,"$36,387","$23,488"
Solomon Islands,"$2,427","$2,049"
South Africa,"$13,526","$6,120"
South Korea,"$38,824","$29,958"
Spain,"$39,037","$28,175"
Sri Lanka,"$12,863","$4,135"
St. Vincent & Grenadines,"$11,769","$7,150"
State of Palestine,"$4,896","$3,054"
Sudan,"$4,914","$2,879"
Suriname,"$15,191","$5,251"
Sweden,"$51,405","$54,075"
Switzerland,"$66,307","$80,296"
Tajikistan,"$3,202",$805
Tanzania,"$2,948",$975
Thailand,"$17,910","$6,579"
Timor-Leste,"$7,228","$2,377"
Togo,"$1,663",$618
Tonga,"$5,969","$4,193"
Trinidad and Tobago,"$31,645","$15,952"
Tunisia,"$11,936","$3,494"
Turkey,"$28,002","$10,498"
Turkmenistan,"$18,031","$6,587"
Tuvalu,"$3,933","$3,494"
Uganda,"$1,868",$631
Ukraine,"$8,699","$2,521"
United Arab Emirates,"$74,035","$40,325"
United Kingdom,"$44,920","$39,532"
United States,"$59,928","$59,939"
Uruguay,"$22,610","$16,341"
Uzbekistan,"$6,880","$1,554"
Vanuatu,"$3,215","$3,022"
Vietnam,"$6,790","$2,366"
Yemen,"$2,606","$1,123"
Zambia,"$4,033","$1,535"
Zimbabwe,"$2,434","$1,548"
