Australia,24
Austria,6
Bahrain,21
Belgium,7
Brazil,23
Canada,-2
Cruise Ship,
Czechia,4
Ecuador,14
Egypt,16
Estonia,-1
Finland,-2
France,10
Germany,6
Greece,13
Chile,23
Iceland,1
India,24
Indonesia,27
Iran,11
Iraq,14
Ireland,7
Israel,15
Italy,9
Japan,10
"Korea, South",6
Kuwait,19
Lebanon,16
Luxembourg,5
Malaysia,28
Netherlands,6
Norway,0
Pakistan,23
Peru,20
Philippines,29
Poland,3
Portugal,15
Qatar,
Romania,5
Russia,-1
San Marino,
Saudi Arabia,18
Singapore,28
Slovakia,6
Slovenia,7
South Africa,20
Spain,14
Sweden,0
Switzerland,5
Thailand,28
United Arab Emirates,22
United Kingdom,7
US,10
